name,tag,region,rr,rank,puuid
kkoruna who,ccccc,ap,505,415,a323ef43-7f9c-5614-864a-78ebfe9a1d62
サダイジン,0011,ap,505,419,6fb6d9f3-0473-5765-a6d3-341edac438c5
INS MeatPieN,ZZZ,ap,499,439,2ea75f8b-8a0e-537d-9eb0-c57dabe834ce
ZuoKew王者,Lita,ap,491,486,ef585376-dd03-5765-9f42-1036b7db894f
Monday,Mon,ap,459,570,d4fa3db7-6aec-51a0-9d51-536618a769a4
trn d,array,ap,456,580,c9621cec-cf0a-54a0-8a58-4009509d0bf2
peterpan,535,ap,453,591,d3c2a9ff-487c-5abe-a53f-202d7c919e0c
T1 PeachCan,0616,ap,441,629,b512c538-ba12-5782-92c1-e14991187ea4
Midro乃eＸe,ttttt,ap,439,634,3722b0cb-b043-59c8-a392-297a2a8ac0ce
Cocosanity,0000,ap,439,635,0b1e0158-895a-5fbf-8ce8-43cf77537dca
Nth R4bbit,apex,ap,438,640,77f4afe2-a9b8-581b-a2dd-b5189795b3a3
LFT jinju,珍 珠,ap,437,647,0c252d47-4605-56ca-bb4c-70582978122d
imnotningning,유광희,ap,413,746,3cf5fe73-3c83-5c1d-ad01-0165f9524162
I like me better,2008,ap,408,766,06be4780-c2a9-5013-b242-482f5708287c
theDoctorr,0000,ap,401,820,2e391b6a-4ed2-53f1-9763-97c701f687fa
7C NDG,GLHF,ap,397,846,4f63176b-7280-59af-88da-343ac2f24679
Nezloe,준우 7,ap,393,867,f2c26d08-3329-5617-b22b-252add99b961
重音テト fanboy,焼麺麭wp,ap,380,952,7a476779-fbc7-5949-bb41-a6d30a6ea1f5
PXP ROBBIE,UEZ,ap,375,976,6375526e-28b1-5bbd-a45c-76cc1ba4e368
OG deecee,moe,ap,374,986,bf4e8c68-67b5-51c0-b713-117213fa123f
pree,11111,ap,368,1011,cb1fb996-f9c4-5c55-a06f-2aaabc7af919
fkwj65,first,ap,366,1018,2cac9e90-ab0e-59c6-a6d3-c8d380d7c03e
afwafawfwa131,1234,ap,364,1028,0afd25c1-60f3-5583-912f-4afbf21a45b1
slash,KingS,ap,360,1044,f9e3f3ea-5aa6-5229-a15f-d5cd547af3a3
Shankusu,haki1,ap,360,1047,9362911c-a391-5d0c-b529-26041a8b877e
Alium,xxx,ap,357,1064,8bc0560c-b6b9-53a3-b8bb-ea82a6af9573
VL SHiBuYA,VLWIN,ap,344,1148,52de8208-4947-5eda-a6ed-5d62fced4bb3
不负骤雨,00000,ap,340,1174,640f557f-f150-5681-9efb-41f2cc391574
世上最忧郁的人,0412,ap,335,1201,1050337b-83b1-5d15-b032-d5675857031e
pzy,hvn,ap,330,1239,71a05a4d-b3e4-5fd5-9391-cf05c7fc7aa0
ロリ同人,田舎中学生,ap,325,1269,5e8265a4-7310-5113-8f02-524d82860188
Taro,Catie,ap,324,1277,b3a365df-9a84-59d7-95eb-4d5c83cccc8e
FendeR,Beni,ap,324,1279,640a654b-7055-5a78-be7f-813dd648700c
神獣Kyeju,0823,ap,323,1281,58290af1-e6d9-57a3-9125-b1fa72db8f70
DLSU tomix,666,ap,322,1291,e765c281-180f-550e-982b-91dfcc5b9d88
리코가좀섹시하긴하지곤란하네,하이용사,ap,321,1299,6258b219-5ed8-5711-b775-53e278a43be8
Merlindz,mers,ap,317,1340,00c644c4-2a93-5dd8-9607-9235d28a5c85
Drop,marcy,ap,315,1352,ca4f6373-8476-588f-9dd0-cc09a5b86b92
