name,tag,region,rr,rank,puuid
PCF NINJA,LOW9,eu,650,110,c7bf2fbd-9342-56c9-a59b-9fe442df7e77
emojnox,lunar,eu,647,111,51ad6a36-c3f7-52c1-b1f1-d6b9fb607547
TH aimDLL,xXxX,eu,647,112,d1a472e7-90a1-5e22-b5f4-33c3c0d994cc
ATN prayy,asjj,eu,645,113,61228629-8f5e-5461-929a-8c77160aafab
JN3v1cEEE林,BEKCE,eu,645,114,7e239b4a-1989-5c41-bba5-eb16ac3194a9
sesshu,iwnl,eu,645,115,d98df377-d3a9-56d8-a251-cf8b25644082
DeepMans,1422,eu,644,116,4e45e74e-b21d-544f-acf1-e4b6e373d448
filipino gooner,nxxah,eu,643,117,385e20d0-4895-5f43-89c7-a502d00630f0
Fèntanyl,hanny,eu,643,118,29b39508-8f76-5e7a-a38d-ad980614ccbd
drogstar999,seal,eu,641,119,8a6dae6e-4a62-5607-ab66-f3a316abf32d
AR4P ŞÜKRÜ,bal,eu,641,120,5ec45062-15d5-5df9-8ca3-21f3bbf7a08b
GMX Darxcio,1TAP,eu,641,121,af4b4ef6-4b5b-58c3-a490-6f41ebde5de1
Bjorn,MMA,eu,640,122,4e83549d-a0ac-5859-9255-dc8b2404a271
ViiZiionZzz,DBD,eu,640,123,7a435cc9-ad13-5778-98d4-01cb70057331
Lally,BACK,eu,639,124,4a537181-7fa7-57e9-8430-d3dd639bfe86
FMG hydro,ARISE,eu,639,125,c3144312-6af4-5c5a-ab1c-9672630aba12
FOKUS Serial,yuki,eu,638,126,9eb28a55-3969-5296-88e9-9bd6f56b912f
batujnax,suygu,eu,637,127,3dc599dc-cd2f-5feb-8801-af53ffe05317
F4F,4FUN,eu,637,128,401f9f68-350b-5194-aff4-6a1bae7597a9
FOKUS pYrolll,hin,eu,636,129,aff5d8cb-4c92-5fc7-a85b-26fea4b1085c
,,eu,636,130,
myth1c,AMG,eu,634,131,4aa7546c-562e-58ec-8d2c-ee4ced2af003
MDR TakaS,swag,eu,633,132,9e322a2e-b6bc-5857-945a-0cca5cefc533
poethbot,sonia,eu,633,133,0ea2ed47-153c-55dc-8bd8-f1b9ae5d0c37
donk666,masia,eu,633,134,e21c33b0-83ab-582c-9ce2-81cad6ed9aff
canfpsz,Niss,eu,633,135,15b76e45-d14b-565f-9e55-733a585262c6
Liquid Kicks,BONK,eu,632,136,60645f1a-5c7c-5efe-aff0-f437faeebbe9
SGE Fizzy,fizz,eu,632,137,1497ff7b-c371-5dbf-b49f-f5ff5d64cf5e
ayakci leffy ت,eat,eu,632,138,2aa09e36-be49-5118-909a-a443ba22a5da
Kuzar,1687,eu,631,139,4529c969-d43b-5646-8a1b-ef4658ff5f41
kami1234567,EU1,eu,631,140,d3e4b658-4961-579e-aa72-bb90f760562f
NøHëlp,zys,eu,631,141,c17dad84-3f1c-54dd-85f6-1dfe7f69acd9
KISSFrostCity,pills,eu,630,142,2d6e16f6-c9e6-52ed-bfe9-4984c37f5f66
Filu,KING,eu,629,143,84467f01-99ac-537e-b234-8770fc925e87
DelSol,666,eu,628,144,fbc599a3-3a69-5421-86dc-276953eaed52
good bye iceland,woof,eu,627,145,833e2f0b-0a5b-5a8b-8351-fa913974e3b2
toji,0 6,eu,626,146,b233a47a-f00a-52c6-bdda-62da9d00bd8d
stark,nvm,eu,626,147,a7aa2882-4a72-50a5-9c7f-6f5f4b206adb
musz3kk,cihan,eu,625,148,fc7c0f68-ab1f-5a6e-baa3-fb2b7c6ca643
FF ip0TT,ibott,eu,625,149,74571102-b058-5555-841c-915c63e6740d
d1scovery,RHCP,eu,625,150,0be49c2a-1331-573c-9619-0b67492ab56b
GMX qu1ckz,0007,eu,625,151,f1548041-4e1d-50b6-9572-a68194353ef0
haint,111,eu,624,152,129c1ade-d32a-5876-ba4d-d9a566185f13
szoren,capri,eu,622,153,fb4bf473-ea3f-5eb6-8977-acf88ece0721
arishikii,TRAUM,eu,619,154,5d8d84c5-8eb3-5830-8e23-2e3d8f4c8def
akame,ecch1,eu,619,155,73503291-ea75-57fe-98a8-ac70860d4f6b
swagzor,shnq,eu,617,156,6ab12b42-de06-53e1-b1e0-c25b5120da3b
white pikmin,3DS,eu,616,157,46347370-dce7-5e18-ac08-3a6617514d21
mezoky,uzhik,eu,616,158,25677557-2c93-5ca3-bab7-a89bc9185b12
Liquid GSR,2323,eu,615,159,1f610d3a-2ad5-5a91-bba4-3b8d26606e96
mutu,nstop,eu,615,160,c713cf6c-7c2a-5ea5-9373-23268a7af8e0
niwt,147,eu,615,161,13c770a6-815b-56e3-8f44-db86d0dd2c6b
M8 Marti,1586,eu,614,162,c0c06f43-617a-55ed-bf14-63bbe6e1737c
FUT bahalas,Trip,eu,613,163,309605f5-d47c-5514-82f8-bdf0a0aa1aab
chanformer,777,eu,611,164,b6fa7cc2-a17f-53e5-9e16-f805379a8049
H1ber,dog,eu,610,165,b5b74b7d-2465-5f48-b2e3-123250a07269
S2G Deadink,77777,eu,610,166,77f08768-b9dd-5c88-99d7-e36a60af0fcb
adore,san,eu,610,167,40e5cc6c-25b0-5501-b3d6-71a8bc8a0f22
İsagi Yoichi,Zago,eu,610,168,b4e0eaf6-5742-5ad2-9d43-818ec5b82acb
Sp1ke,SKK,eu,609,169,a477b079-5ef2-5895-a541-1f2481c00580
Letha,洗った犬,eu,609,170,f1ad7111-9307-55f9-b95e-c3cd89513141
spectrA,ŞRG,eu,609,171,75a7e1cb-48ae-5690-aab0-82a2e657fc98
,,eu,608,172,
DSY waddle,9999,eu,608,173,5a69322c-b8ee-57c8-9e02-48ae1815fed4
Hooper,wrld,eu,608,174,570b21a8-8310-52db-8027-10bc0f6ebe92
DSY krimidrimi,cream,eu,607,175,fde6d70d-579b-51b7-9116-b830c2bd9948
troxy,void,eu,607,176,6e95a210-6456-51e7-b95d-64ee005b127a
seito,17yoo,eu,607,177,dfecc693-aaed-5531-98b5-7af36a4a3c14
BW Flexxin,001,eu,606,178,cd213302-24d6-5886-96df-e354e31a5a76
rau,00000,eu,606,179,b217f4bb-f7e9-5bf3-aad8-21a85bb43b77
yung white,ysl,eu,604,180,ebe12046-ef47-566a-8e02-c8e8745241d9
FOKUS shinnok,kiraj,eu,603,181,73cf6eac-4530-5d22-af75-a163983cd974
BeX,0004,eu,603,182,b35a8d77-8617-520a-add5-63bb89e23aaf
KarmaZK,ttv,eu,602,183,e1c8d184-9e38-5faf-8020-4d5d91ccb1d6
dema,ohwow,eu,602,184,08f4e47e-d82c-5d09-840b-059719b189b7
Tiyosta,MVP,eu,601,185,6321a8c4-7447-5870-a912-a43cd378967a
danergg,vidra,eu,601,186,1d30841c-4426-56e2-81c3-5723169bc73f
Brimstonezinho74,FNBR,eu,600,187,0aca8e7f-bd30-541f-ad04-e5aaebbb8e54
Gloomy,lone,eu,600,188,200d285b-b573-5cf5-ad02-61481c7f9dcf
MDR Sevire,TRUTH,eu,599,189,3badd61c-5bbf-57f5-b52c-c09c8be672d8
Antares,144hz,eu,599,190,67c5dc5b-b581-57df-99dc-3ddd9ca55f8d
Bashkir,bawka,eu,599,191,894805f2-28ef-5d46-8b4c-018b423fbbec
krish final boss,back,eu,597,192,e1829b9d-7863-566c-80c5-663d6f0d7c1e
BW Ecoo,KIPSS,eu,596,193,e165fbc0-bcfe-541c-ba88-ac126cfd3826
khavAn,777,eu,596,194,bf6b35b2-7b9c-5efb-b52f-7dcce9c78c35
Wintxrr,1051,eu,595,195,7f14c035-5344-553f-aa6b-4d325411ddaf
r1zvaN,bot,eu,595,196,22b3b831-ada6-5ae9-a1f0-58a2b4924b21
,,eu,595,197,
FUT qRaxs,8996,eu,594,198,19aa1043-088d-5f91-9dbe-e31cc50532fc
jeluno,94BOI,eu,594,199,94d3aa93-b60d-59d8-8a42-add83a874981
OTK YuNo,FAS,eu,593,200,ee945bba-36c7-579a-b3e4-e3557bbc360c
011,dag3r,eu,593,201,693677b0-0eaa-5c00-88de-97a6c8dbd081
,,eu,593,202,
voortkn,lisa,eu,592,203,33bf495d-50dd-5dc0-a367-ad1347ee62b3
GS JrayN,FERO,eu,591,204,acbad705-81bd-5973-a2f5-2f2a6b4c5e3e
,,eu,591,205,
emilio,23567,eu,591,206,f4a23c25-bfdd-5d4a-a71a-a8f545aabc6a
robloxpro,ctrl,eu,591,207,e0f665bb-64b5-5493-b6ed-7a72f3544b86
Drumy,luv,eu,590,208,bc4ca208-19a4-5290-a7ac-eb29742cf794
