name,tag,region,rr,rank,puuid
puddingg,4952,ap,113,5499,c7fce0e6-38e5-54e0-b0ac-5651f9d32674
feel vs everyone,fiel,ap,136,4476,6ed202e7-39af-54bc-b3e8-5730f15e3467
forget me not,yuk1,ap,169,3503,859d0775-8f11-5e31-bab5-7a1074dd20ed
cifer,0323,ap,260,1878,5bc38802-f710-5caf-9777-5ff4d18a62af
ewewewewewewewew,001,ap,475,525,860073f1-049a-5be9-a0da-93ce15c88684
wezzy,skrr,ap,548,264,5b38e13f-c6aa-5e83-8811-d50468d0d60f
GX westside,sens,ap,496,457,6e5f4a3b-7923-5236-9f94-cae8e4ea69e8
JPANES,2002,ap,107,5818,35d651f5-68e5-5c8c-8ef4-f2f3ae099113
Aizen Sosuke,AZSSK,ap,318,1317,e38b95e5-d03c-55bc-89b3-66120c4b2b31
Kinggg,jayra,ap,302,1465,ea74da1d-49ca-5734-8c05-73ca518fcec2
X r I,goat,ap,374,980,dcc016bf-834a-59de-b68b-60fcb2ad6226
watasink,101,ap,239,2159,6f742231-0ec5-5abd-8153-932b71744681
사륜비,omega,ap,155,3874,86dc8b88-23c2-5f30-93f2-915037c10c2b
napo,vvv,ap,104,5950,21ba51ec-2d89-5759-ba2f-ad0fc7195f22
AG Lucid,Heang,ap,168,3547,f3868835-821c-5cb4-8f3a-db0bf7f28bf9
nek0solowin,mook,ap,103,5996,7e70f416-6c2c-5fbe-b53e-39620ecb59f2
Space,LFT,ap,321,1296,5f6b2d5a-6732-5cbb-8a35-620c4f673a5d
Wolverine,715,ap,461,561,2dfb8ea9-5c59-57ef-a1a7-6ffa0a8ee9a5
Fc12,tommy,ap,131,4640,e8202b95-d070-51bc-89c2-5f38cdc8d56a
Jeeroan,Duarr,ap,238,2175,ced0339a-d995-5488-be34-1cc19607888c
克里斯蒂亚诺罗纳尔多,皇家马德里,ap,499,443,76c7aece-d784-5ed4-86fd-37b38dd17f79
DOVE,520,ap,337,1192,54c35092-d731-59a1-950b-d462e4a44acc
3d3r,fms,ap,365,1024,6d2310dd-1f30-5a4a-a3e6-c9376ebe01d9
다빈누나 사랑해요,0212,ap,327,1257,73482500-6a89-5f10-9503-125f86e7b761
cainexc,snder,ap,104,5991,23a559a1-b9fd-5dca-85e0-8cb2eca146d2
ezrisrockq,mind,ap,435,658,4f969661-0ddc-5088-b1f8-22b351481fe3
lilkirktisolkfc,28сm,ap,239,2163,6b4d41f6-3570-540d-a844-be5798b3788f
Mashi,Ari,ap,433,665,00bba151-080c-5ef2-aaed-c91c8846f202
Kaige,9963,ap,317,1341,441903e9-301d-5c00-98e0-223512abfed8
